?cls	?pred	?val	?synType
<https://spec.industrialontologies.org/ontology/construct/DirectiveInformationContentEntity>	<http://www.w3.org/2000/01/rdf-schema#label>	"directive information content entity"@en-us	
<https://spec.industrialontologies.org/ontology/construct/EncodedAlgorithm>	<http://www.w3.org/2000/01/rdf-schema#label>	"encoded algorithm"@en-us	
<https://spec.industrialontologies.org/ontology/construct/BusinessFunction>	<http://www.w3.org/2000/01/rdf-schema#label>	"business function"@en-us	
<https://spec.industrialontologies.org/ontology/construct/LossOfRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"loss of role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/EngineeredSystem>	<http://www.w3.org/2000/01/rdf-schema#label>	"engineered system"@en-us	
<https://spec.industrialontologies.org/ontology/construct/PhysicalLocationIdentifier>	<http://www.w3.org/2000/01/rdf-schema#label>	"physical location identifier"@en-us	
<https://spec.industrialontologies.org/ontology/construct/SupplierRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"supplier role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/CommercialServiceSpecification>	<http://www.w3.org/2000/01/rdf-schema#label>	"commercial service specification"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ServiceProviderRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"service provider role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/SupplyingBusinessProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"supplying business process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/CustomerRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"customer role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/RawMaterial>	<http://www.w3.org/2000/01/rdf-schema#label>	"raw material"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ServiceProvider>	<http://www.w3.org/2000/01/rdf-schema#label>	"service provider"@en-us	
<https://spec.industrialontologies.org/ontology/construct/CommercialServiceAgreement>	<http://www.w3.org/2000/01/rdf-schema#label>	"commercial service agreement"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Buyer>	<http://www.w3.org/2000/01/rdf-schema#label>	"buyer"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialComponent>	<http://www.w3.org/2000/01/rdf-schema#label>	"material component"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Agent>	<http://www.w3.org/2000/01/rdf-schema#label>	"agent"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Assembly>	<http://www.w3.org/2000/01/rdf-schema#label>	"assembly"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ObjectiveSpecification>	<http://www.w3.org/2000/01/rdf-schema#label>	"objective specification"@en-us	
<https://spec.industrialontologies.org/ontology/construct/GroupOfAgents>	<http://www.w3.org/2000/01/rdf-schema#label>	"group of agents"@en-us	
<https://spec.industrialontologies.org/ontology/construct/AgentRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"agent role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/OrganizedGroupOfAgents>	<http://www.w3.org/2000/01/rdf-schema#label>	"organized group of agents"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ManufacturerRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"manufacturer role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/EquipmentRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"equipment role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/AssemblyProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"assembly process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/RequirementSpecification>	<http://www.w3.org/2000/01/rdf-schema#label>	"requirement specification"@en-us	
<https://spec.industrialontologies.org/ontology/construct/GroupOfPersons>	<http://www.w3.org/2000/01/rdf-schema#label>	"group of persons"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaintainableMaterialItemRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"maintainable material item role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Supplier>	<http://www.w3.org/2000/01/rdf-schema#label>	"supplier"@en-us	
<https://spec.industrialontologies.org/ontology/construct/RawMaterialRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"raw material role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MeasurementCapability>	<http://www.w3.org/2000/01/rdf-schema#label>	"measurement capability"@en-us	
<https://spec.industrialontologies.org/ontology/construct/DesignedFunction>	<http://www.w3.org/2000/01/rdf-schema#label>	"designed function"@en-us	
<https://spec.industrialontologies.org/ontology/construct/DescriptiveInformationContentEntity>	<http://www.w3.org/2000/01/rdf-schema#label>	"descriptive information content entity"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialState>	<http://www.w3.org/2000/01/rdf-schema#label>	"material state"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Identifier>	<http://www.w3.org/2000/01/rdf-schema#label>	"identifier"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaturityLevel>	<http://www.w3.org/2000/01/rdf-schema#label>	"maturity level"@en-us	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004>	<http://www.w3.org/2000/01/rdf-schema#label>	"geological structure"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000012>	<http://www.w3.org/2000/01/rdf-schema#label>	"geological contact"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000010>	<http://www.w3.org/2000/01/rdf-schema#label>	"unconsolidated earth material"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005>	<http://www.w3.org/2000/01/rdf-schema#label>	"geological time interval"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000003>	<http://www.w3.org/2000/01/rdf-schema#label>	"geological age"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008>	<http://www.w3.org/2000/01/rdf-schema#label>	"amount of rock"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"geological process"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009>	<http://www.w3.org/2000/01/rdf-schema#label>	"earth fluid"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000007>	<http://www.w3.org/2000/01/rdf-schema#label>	"amount of mineral"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006>	<http://www.w3.org/2000/01/rdf-schema#label>	"earth material"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011>	<http://www.w3.org/2000/01/rdf-schema#label>	"geological boundary"@en	
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"geological object"@en	
